config,threshold,n_answerable,n_unanswerable,false_abstention_rate,false_acceptance_rate,near_miss_acceptance_rate,out_of_scope_acceptance_rate,abstention_precision,abstention_recall,abstention_f1,balanced_error_rate
page_aware,0.3,23,11,0.0,0.3636,0.5,0.2,1.0,0.6364,0.7778,0.1818
page_aware,0.35,23,11,0.0,0.3636,0.5,0.2,1.0,0.6364,0.7778,0.1818
page_aware,0.4,23,11,0.0435,0.2727,0.3333,0.2,0.8889,0.7273,0.8,0.1581
page_aware,0.45,23,11,0.087,0.0909,0.0,0.2,0.8333,0.9091,0.8696,0.0889
page_aware,0.5,23,11,0.087,0.0,0.0,0.0,0.8462,1.0,0.9167,0.0435
page_aware,0.55,23,11,0.2609,0.0,0.0,0.0,0.6471,1.0,0.7857,0.1304
page_aware,0.6,23,11,0.4783,0.0,0.0,0.0,0.5,1.0,0.6667,0.2391
page_aware,0.65,23,11,0.6087,0.0,0.0,0.0,0.44,1.0,0.6111,0.3043
page_aware,0.7,23,11,0.7826,0.0,0.0,0.0,0.3793,1.0,0.55,0.3913
page_aware,0.75,23,11,0.9565,0.0,0.0,0.0,0.3333,1.0,0.5,0.4783
page_aware,0.8,23,11,1.0,0.0,0.0,0.0,0.3235,1.0,0.4889,0.5
fixed_size,0.3,23,11,0.0,0.3636,0.5,0.2,1.0,0.6364,0.7778,0.1818
fixed_size,0.35,23,11,0.0,0.2727,0.3333,0.2,1.0,0.7273,0.8421,0.1364
fixed_size,0.4,23,11,0.0435,0.1818,0.1667,0.2,0.9,0.8182,0.8571,0.1126
fixed_size,0.45,23,11,0.1304,0.0,0.0,0.0,0.7857,1.0,0.88,0.0652
fixed_size,0.5,23,11,0.3043,0.0,0.0,0.0,0.6111,1.0,0.7586,0.1522
fixed_size,0.55,23,11,0.4783,0.0,0.0,0.0,0.5,1.0,0.6667,0.2391
fixed_size,0.6,23,11,0.6522,0.0,0.0,0.0,0.4231,1.0,0.5946,0.3261
fixed_size,0.65,23,11,0.6957,0.0,0.0,0.0,0.4074,1.0,0.5789,0.3478
fixed_size,0.7,23,11,0.8261,0.0,0.0,0.0,0.3667,1.0,0.5366,0.413
fixed_size,0.75,23,11,0.913,0.0,0.0,0.0,0.3438,1.0,0.5116,0.4565
fixed_size,0.8,23,11,1.0,0.0,0.0,0.0,0.3235,1.0,0.4889,0.5
